File Name,Focal Length,Lighting Temperature,Aperture,Focus Distance,Shot Type,ISO,INT/EXT,Camera Model,Composition Techniques,Filter Used,Lens
1917-2019-260-16380.jpg,24,3200,4.0,1.5,Point-of-view,200,EXT,ARRI Alexa,Symmetry,ND Filter,Nikon AF-S Nikkor 50mm f/1.4G
1917-2019-260-16389.jpg,85,3200,2.0,3.0,Extreme close-up,1600,INT,Sony Venice,Symmetry,None,Nikon AF-S Nikkor 50mm f/1.4G
1917-2019-260-16399.jpg,85,3200,4.0,0.5,Close-up,100,EXT,Fujifilm X-T3,Symmetry,Gradient Filter,Nikon AF-S Nikkor 50mm f/1.4G
1917-2019-260-16403.jpg,35,3200,1.4,1.5,Over-the-shoulder,400,EXT,Panavision Millennium DXL2,Leading lines,UV Filter,Zeiss Otus 85mm f/1.4
1917-2019-260-16408.jpg,105,6500,2.8,2.0,Close-up,200,EXT,Sony FX6,Frame within a frame,ND Filter,Zeiss Otus 85mm f/1.4
1917-2019-260-16412.jpg,85,5600,5.6,0.5,Over-the-shoulder,400,INT,Nikon Z6,Frame within a frame,UV Filter,Fujifilm XF 56mm f/1.2 R
1917-2019-260-16416.jpg,85,5600,2.8,1.5,Wide shot,1600,EXT,RED Epic,Rule of thirds,Gradient Filter,Nikon AF-S Nikkor 50mm f/1.4G
1917-2019-260-16423.jpg,85,4300,4.0,1.0,Close-up,200,EXT,Canon C300,Leading lines,None,Tamron SP 70-200mm f/2.8 Di VC USD G2
1917-2019-260-16426.jpg,35,6500,4.0,1.5,Medium shot,400,INT,Sony Venice,Rule of thirds,Polarizer,Sony FE 24-70mm f/2.8 GM
1917-2019-260-16430.jpg,50,4300,4.0,1.5,Extreme close-up,200,EXT,RED Epic,Leading lines,None,Sigma 35mm f/1.4 DG HSM Art
1917-2019-260-16433.jpg,35,5600,4.0,1.0,Extreme close-up,1600,EXT,RED Komodo,Rule of thirds,None,Canon EF 24-70mm f/2.8L II USM
1917-2019-260-16438.jpg,50,4300,5.6,2.0,Close-up,100,INT,RED Epic,Frame within a frame,ND Filter,Zeiss Otus 85mm f/1.4
1917-2019-260-16444.jpg,85,3200,2.8,1.0,Close-up,400,EXT,ARRI Amira,Golden ratio,Polarizer,Fujifilm XF 56mm f/1.2 R
1917-2019-260-16450.jpg,24,3200,2.8,1.5,Point-of-view,800,INT,ARRI Amira,Rule of thirds,Polarizer,Tokina AT-X 16-28mm f/2.8 Pro FX
1917-2019-260-16451.jpg,35,6500,2.0,1.5,Over-the-shoulder,100,EXT,Nikon Z6,Frame within a frame,Polarizer,Fujifilm XF 56mm f/1.2 R
1917-2019-260-16454.jpg,35,5600,2.0,2.0,Point-of-view,1600,EXT,RED Epic,Golden ratio,None,Sigma 35mm f/1.4 DG HSM Art
1917-2019-260-16479.jpg,85,6500,2.8,2.0,Close-up,1600,INT,ARRI Alexa,Symmetry,ND Filter,Leica Summilux-C 29mm T1.4
1917-2019-260-16481.jpg,50,4300,1.4,2.0,Over-the-shoulder,100,INT,Panasonic Lumix GH5,Leading lines,Gradient Filter,Sony FE 24-70mm f/2.8 GM
1917-2019-260-16591.jpg,105,6500,2.0,1.5,Wide shot,400,INT,Sony Venice,Leading lines,None,Sony FE 24-70mm f/2.8 GM
2001-a-space-odyssey-1968-10002.jpg,24,6500,2.0,2.0,Wide shot,100,EXT,RED Epic,Rule of thirds,None,Zeiss Otus 85mm f/1.4
2001-a-space-odyssey-1968-10008.jpg,105,6500,2.8,2.0,Point-of-view,800,EXT,RED Komodo,Rule of thirds,Polarizer,Zeiss Otus 85mm f/1.4
2001-a-space-odyssey-1968-10019.jpg,24,5600,2.0,0.5,Point-of-view,800,EXT,Canon EOS C70,Golden ratio,ND Filter,Leica Summilux-C 29mm T1.4
2001-a-space-odyssey-1968-10028.jpg,105,6500,2.0,3.0,Close-up,200,EXT,ARRI Amira,Golden ratio,Gradient Filter,Tokina AT-X 16-28mm f/2.8 Pro FX
2001-a-space-odyssey-1968-10029.jpg,35,6500,2.8,3.0,Wide shot,400,INT,Blackmagic URSA Mini,Frame within a frame,Polarizer,Nikon AF-S Nikkor 50mm f/1.4G
2001-a-space-odyssey-1968-10036.jpg,35,3200,2.0,1.5,Over-the-shoulder,200,INT,Panavision Millennium DXL2,Leading lines,Gradient Filter,Fujifilm XF 56mm f/1.2 R
2001-a-space-odyssey-1968-10037.jpg,50,6500,2.8,1.5,Point-of-view,200,INT,Sony A7S III,Golden ratio,ND Filter,Tokina AT-X 16-28mm f/2.8 Pro FX
2001-a-space-odyssey-1968-10043.jpg,85,6500,4.0,1.0,Medium shot,1600,EXT,ARRI Amira,Rule of thirds,Polarizer,Tokina AT-X 16-28mm f/2.8 Pro FX
2001-a-space-odyssey-1968-9860.jpg,50,5600,4.0,1.5,Point-of-view,100,INT,Sony FX6,Symmetry,Polarizer,Tamron SP 70-200mm f/2.8 Di VC USD G2
2001-a-space-odyssey-1968-9868.jpg,50,6500,2.0,0.5,Over-the-shoulder,800,INT,Nikon Z6,Leading lines,Gradient Filter,Fujifilm XF 56mm f/1.2 R
2001-a-space-odyssey-1968-9872.jpg,35,4300,2.8,0.5,Close-up,800,INT,Panavision Millennium DXL2,Leading lines,UV Filter,Panasonic Lumix G X Vario 12-35mm f/2.8 II ASPH
2001-a-space-odyssey-1968-9873.jpg,24,3200,4.0,2.0,Wide shot,1600,INT,Sony FX6,Golden ratio,None,Tokina AT-X 16-28mm f/2.8 Pro FX
2001-a-space-odyssey-1968-9900.jpg,24,5600,5.6,1.5,Medium shot,800,EXT,Panavision Millennium DXL2,Frame within a frame,Polarizer,Nikon AF-S Nikkor 50mm f/1.4G
2001-a-space-odyssey-1968-9902.jpg,35,3200,5.6,3.0,Point-of-view,1600,INT,Sony A7S III,Golden ratio,None,Fujifilm XF 56mm f/1.2 R
2001-a-space-odyssey-1968-9905.jpg,24,4300,2.0,1.0,Point-of-view,400,INT,Sony Venice,Rule of thirds,Polarizer,Zeiss Otus 85mm f/1.4
2001-a-space-odyssey-1968-9906.jpg,24,6500,2.0,0.5,Close-up,200,INT,Canon C300,Golden ratio,UV Filter,Tamron SP 70-200mm f/2.8 Di VC USD G2
2001-a-space-odyssey-1968-9908.jpg,24,5600,1.4,0.5,Over-the-shoulder,800,EXT,ARRI Alexa,Leading lines,Polarizer,Zeiss Otus 85mm f/1.4
2001-a-space-odyssey-1968-9909.jpg,105,5600,5.6,1.0,Wide shot,800,EXT,Canon C300,Golden ratio,UV Filter,Canon EF 24-70mm f/2.8L II USM
2001-a-space-odyssey-1968-9915.jpg,50,5600,2.8,0.5,Wide shot,100,EXT,ARRI Alexa,Rule of thirds,ND Filter,Leica Summilux-C 29mm T1.4
2001-a-space-odyssey-1968-9927.jpg,85,5600,2.8,3.0,Close-up,800,INT,ARRI Alexa,Frame within a frame,Gradient Filter,Fujifilm XF 56mm f/1.2 R
2001-a-space-odyssey-1968-9930.jpg,35,4300,4.0,0.5,Medium shot,1600,EXT,RED Epic,Leading lines,UV Filter,Leica Summilux-C 29mm T1.4
2001-a-space-odyssey-1968-9932.jpg,35,6500,2.8,3.0,Extreme close-up,400,EXT,Sony Venice,Leading lines,None,Tokina AT-X 16-28mm f/2.8 Pro FX
2001-a-space-odyssey-1968-9935.jpg,85,6500,5.6,2.0,Over-the-shoulder,100,EXT,Sony Venice,Leading lines,None,Tamron SP 70-200mm f/2.8 Di VC USD G2
2001-a-space-odyssey-1968-9938.jpg,50,3200,2.8,0.5,Point-of-view,1600,INT,ARRI Alexa,Symmetry,None,Nikon AF-S Nikkor 50mm f/1.4G
2001-a-space-odyssey-1968-9954.jpg,105,6500,1.4,1.0,Close-up,1600,EXT,Sony Venice,Golden ratio,Polarizer,Nikon AF-S Nikkor 50mm f/1.4G
2001-a-space-odyssey-1968-9956.jpg,105,4300,2.0,3.0,Close-up,400,INT,Sony Venice,Frame within a frame,Gradient Filter,Leica Summilux-C 29mm T1.4
2001-a-space-odyssey-1968-9966.jpg,50,5600,4.0,0.5,Point-of-view,200,INT,Panavision Millennium DXL2,Symmetry,Gradient Filter,Canon EF 24-70mm f/2.8L II USM
2001-a-space-odyssey-1968-9968.jpg,105,6500,1.4,1.5,Close-up,800,INT,RED Epic,Golden ratio,None,Panasonic Lumix G X Vario 12-35mm f/2.8 II ASPH
2001-a-space-odyssey-1968-9973.jpg,24,3200,4.0,0.5,Close-up,100,EXT,ARRI Alexa,Symmetry,Polarizer,Nikon AF-S Nikkor 50mm f/1.4G
2001-a-space-odyssey-1968-9984.jpg,85,6500,1.4,2.0,Over-the-shoulder,400,EXT,Fujifilm X-T3,Rule of thirds,Gradient Filter,Tokina AT-X 16-28mm f/2.8 Pro FX
2001-a-space-odyssey-1968-9997.jpg,105,3200,2.8,3.0,Close-up,800,EXT,Panavision Millennium DXL2,Symmetry,None,Sony FE 24-70mm f/2.8 GM
2001-a-space-odyssey-1968-9999.jpg,105,4300,4.0,1.5,Extreme close-up,1600,INT,Panasonic Lumix GH5,Symmetry,UV Filter,Sony FE 24-70mm f/2.8 GM
25th-hour-2002-4586.png,85,3200,4.0,3.0,Close-up,200,INT,Fujifilm X-T3,Frame within a frame,Polarizer,Canon EF 24-70mm f/2.8L II USM
25th-hour-2002-4593.png,24,6500,5.6,1.5,Over-the-shoulder,200,INT,Panasonic Lumix GH5,Frame within a frame,UV Filter,Zeiss Otus 85mm f/1.4
25th-hour-2002-4607.png,85,5600,5.6,1.5,Point-of-view,200,EXT,Canon EOS C70,Golden ratio,Polarizer,Nikon AF-S Nikkor 50mm f/1.4G
25th-hour-2002-4615.png,24,3200,2.0,1.5,Medium shot,800,EXT,Canon EOS R,Rule of thirds,ND Filter,Canon EF 24-70mm f/2.8L II USM
25th-hour-2002-4618.png,35,4300,2.0,3.0,Over-the-shoulder,200,INT,Sony Venice,Leading lines,UV Filter,Zeiss Otus 85mm f/1.4
25th-hour-2002-4627.png,35,3200,4.0,1.5,Over-the-shoulder,1600,INT,Sony A7S III,Symmetry,Polarizer,Sony FE 24-70mm f/2.8 GM
25th-hour-2002-4628.png,35,3200,4.0,2.0,Close-up,1600,INT,RED Komodo,Frame within a frame,ND Filter,Tokina AT-X 16-28mm f/2.8 Pro FX
25th-hour-2002-4629.png,85,6500,2.8,1.5,Over-the-shoulder,800,INT,RED Komodo,Symmetry,UV Filter,Canon EF 24-70mm f/2.8L II USM
25th-hour-2002-4635.png,50,6500,2.0,0.5,Point-of-view,200,INT,Canon EOS C70,Leading lines,Gradient Filter,Leica Summilux-C 29mm T1.4
25th-hour-2002-4639.png,85,4300,4.0,3.0,Wide shot,400,EXT,Canon EOS C70,Leading lines,Polarizer,Panasonic Lumix G X Vario 12-35mm f/2.8 II ASPH
25th-hour-2002-4640.png,85,3200,2.0,1.5,Close-up,400,INT,RED Komodo,Symmetry,Polarizer,Fujifilm XF 56mm f/1.2 R
a-i-artificial-intelligence-2001-1868.jpg,85,6500,1.4,1.0,Wide shot,200,INT,Canon C300,Golden ratio,Polarizer,Nikon AF-S Nikkor 50mm f/1.4G
a-i-artificial-intelligence-2001-1871.jpg,24,3200,5.6,3.0,Close-up,200,EXT,Canon C300,Frame within a frame,UV Filter,Tamron SP 70-200mm f/2.8 Di VC USD G2
a-i-artificial-intelligence-2001-1875.jpg,24,4300,4.0,1.0,Extreme close-up,1600,EXT,Canon C300,Frame within a frame,Polarizer,Sony FE 24-70mm f/2.8 GM
a-i-artificial-intelligence-2001-1881.jpg,105,4300,2.0,1.5,Medium shot,100,INT,Nikon Z6,Golden ratio,Polarizer,Fujifilm XF 56mm f/1.2 R
a-i-artificial-intelligence-2001-1883.jpg,50,6500,4.0,1.0,Extreme close-up,100,INT,Canon C300,Golden ratio,ND Filter,Tamron SP 70-200mm f/2.8 Di VC USD G2
a-i-artificial-intelligence-2001-1888.jpg,35,6500,4.0,2.0,Close-up,400,INT,Panavision Millennium DXL2,Rule of thirds,Gradient Filter,Zeiss Otus 85mm f/1.4
a-i-artificial-intelligence-2001-1891.jpg,50,4300,1.4,3.0,Medium shot,200,INT,Canon EOS R,Leading lines,Polarizer,Sony FE 24-70mm f/2.8 GM
a-i-artificial-intelligence-2001-1898.jpg,50,3200,4.0,3.0,Extreme close-up,400,EXT,Blackmagic URSA Mini,Leading lines,Gradient Filter,Nikon AF-S Nikkor 50mm f/1.4G
a-i-artificial-intelligence-2001-1899.jpg,50,5600,2.0,2.0,Over-the-shoulder,800,INT,Nikon Z6,Leading lines,None,Sigma 35mm f/1.4 DG HSM Art
a-i-artificial-intelligence-2001-1900.jpg,105,4300,1.4,1.0,Close-up,200,EXT,Blackmagic URSA Mini,Rule of thirds,UV Filter,Sigma 35mm f/1.4 DG HSM Art
a-i-artificial-intelligence-2001-1905.jpg,50,6500,4.0,1.5,Wide shot,200,EXT,RED Epic,Leading lines,None,Tamron SP 70-200mm f/2.8 Di VC USD G2
a-i-artificial-intelligence-2001-1908.jpg,85,5600,1.4,1.0,Close-up,1600,EXT,RED Komodo,Golden ratio,Gradient Filter,Tokina AT-X 16-28mm f/2.8 Pro FX
a-i-artificial-intelligence-2001-1911.jpg,85,6500,5.6,3.0,Extreme close-up,100,EXT,Fujifilm X-T3,Rule of thirds,ND Filter,Zeiss Otus 85mm f/1.4
a-i-artificial-intelligence-2001-1913.jpg,50,3200,2.0,0.5,Over-the-shoulder,400,INT,Panasonic Lumix GH5,Symmetry,ND Filter,Tamron SP 70-200mm f/2.8 Di VC USD G2
a-i-artificial-intelligence-2001-1914.jpg,50,3200,5.6,1.0,Extreme close-up,200,INT,Sony FX6,Symmetry,Gradient Filter,Sony FE 24-70mm f/2.8 GM
a-i-artificial-intelligence-2001-1918.jpg,85,5600,5.6,3.0,Medium shot,200,EXT,Canon EOS C70,Rule of thirds,UV Filter,Panasonic Lumix G X Vario 12-35mm f/2.8 II ASPH
a-i-artificial-intelligence-2001-1920.jpg,50,3200,2.0,1.5,Over-the-shoulder,200,INT,Blackmagic URSA Mini,Rule of thirds,Polarizer,Tokina AT-X 16-28mm f/2.8 Pro FX
a-i-artificial-intelligence-2001-1922.jpg,105,5600,2.8,2.0,Close-up,200,EXT,Canon C300,Leading lines,Polarizer,Tokina AT-X 16-28mm f/2.8 Pro FX
a-serious-man-2009-4688.png,24,5600,2.8,3.0,Extreme close-up,400,INT,Blackmagic URSA Mini,Symmetry,UV Filter,Zeiss Otus 85mm f/1.4
a-serious-man-2009-4702.png,105,6500,2.0,0.5,Point-of-view,400,EXT,ARRI Alexa,Frame within a frame,UV Filter,Fujifilm XF 56mm f/1.2 R
a-serious-man-2009-4704.png,24,4300,2.8,0.5,Wide shot,400,INT,Canon C300,Leading lines,None,Panasonic Lumix G X Vario 12-35mm f/2.8 II ASPH
a-serious-man-2009-4707.png,105,5600,2.8,0.5,Wide shot,100,EXT,ARRI Alexa,Golden ratio,Polarizer,Zeiss Otus 85mm f/1.4
a-serious-man-2009-4711.png,24,3200,5.6,3.0,Over-the-shoulder,200,EXT,Sony FX6,Symmetry,UV Filter,Zeiss Otus 85mm f/1.4
a-serious-man-2009-4717.png,50,6500,4.0,2.0,Wide shot,100,EXT,Canon C300,Leading lines,Gradient Filter,Sony FE 24-70mm f/2.8 GM
a-serious-man-2009-4721.png,105,5600,2.0,3.0,Over-the-shoulder,800,INT,RED Komodo,Leading lines,UV Filter,Canon EF 24-70mm f/2.8L II USM
a-serious-man-2009-4724.png,50,4300,4.0,3.0,Over-the-shoulder,800,EXT,Fujifilm X-T3,Leading lines,Gradient Filter,Canon EF 24-70mm f/2.8L II USM
a-serious-man-2009-4725.png,85,6500,2.0,2.0,Over-the-shoulder,800,EXT,Canon EOS C70,Golden ratio,Polarizer,Tamron SP 70-200mm f/2.8 Di VC USD G2
a-serious-man-2009-4726.png,105,3200,5.6,0.5,Medium shot,100,INT,Fujifilm X-T3,Leading lines,Gradient Filter,Sony FE 24-70mm f/2.8 GM
a-serious-man-2009-4727.png,24,3200,2.0,1.0,Medium shot,100,EXT,Nikon Z6,Golden ratio,Polarizer,Leica Summilux-C 29mm T1.4
alexa-s-body-2021-269-18526.jpg,24,5600,4.0,2.0,Over-the-shoulder,800,EXT,Fujifilm X-T3,Symmetry,UV Filter,Leica Summilux-C 29mm T1.4
alexa-s-body-2021-269-18528.jpg,35,3200,5.6,0.5,Extreme close-up,100,INT,Panavision Millennium DXL2,Leading lines,UV Filter,Canon EF 24-70mm f/2.8L II USM
alexa-s-body-2021-269-18541.jpg,50,3200,4.0,2.0,Wide shot,1600,EXT,Nikon Z6,Frame within a frame,UV Filter,Tamron SP 70-200mm f/2.8 Di VC USD G2
alexa-s-body-2021-269-18545.jpg,35,4300,5.6,0.5,Wide shot,200,INT,Panasonic Lumix GH5,Leading lines,None,Sigma 35mm f/1.4 DG HSM Art
alexa-s-body-2021-269-18549.jpg,85,3200,2.0,1.5,Over-the-shoulder,200,EXT,Canon EOS C70,Symmetry,None,Tamron SP 70-200mm f/2.8 Di VC USD G2
alexa-s-body-2021-269-18554.jpg,24,6500,2.8,0.5,Over-the-shoulder,200,EXT,Sony Venice,Rule of thirds,ND Filter,Leica Summilux-C 29mm T1.4
amelie-2001-2993.jpg,50,6500,2.8,3.0,Wide shot,100,EXT,Canon EOS R,Symmetry,ND Filter,Tokina AT-X 16-28mm f/2.8 Pro FX
amelie-2001-2997.jpg,35,4300,4.0,3.0,Wide shot,800,EXT,Sony A7S III,Golden ratio,ND Filter,Tamron SP 70-200mm f/2.8 Di VC USD G2
amelie-2001-3001.jpg,24,3200,5.6,1.5,Extreme close-up,400,EXT,Panasonic Lumix GH5,Golden ratio,Gradient Filter,Tokina AT-X 16-28mm f/2.8 Pro FX
amelie-2001-3005.jpg,50,4300,2.8,3.0,Wide shot,400,EXT,RED Epic,Symmetry,UV Filter,Sony FE 24-70mm f/2.8 GM
amelie-2001-3008.jpg,35,3200,4.0,0.5,Wide shot,200,EXT,Sony FX6,Golden ratio,ND Filter,Leica Summilux-C 29mm T1.4
amelie-2001-3010.jpg,50,5600,1.4,2.0,Wide shot,100,EXT,ARRI Alexa,Leading lines,Gradient Filter,Sigma 35mm f/1.4 DG HSM Art
amelie-2001-3018.jpg,85,4300,2.8,1.5,Point-of-view,200,INT,ARRI Alexa,Golden ratio,Polarizer,Sony FE 24-70mm f/2.8 GM
amelie-2001-3022.jpg,24,5600,5.6,1.0,Close-up,800,EXT,ARRI Alexa,Rule of thirds,Polarizer,Zeiss Otus 85mm f/1.4
amelie-2001-3023.jpg,50,4300,2.0,1.0,Point-of-view,400,EXT,RED Epic,Frame within a frame,ND Filter,Leica Summilux-C 29mm T1.4
amelie-2001-3032.jpg,24,6500,5.6,3.0,Over-the-shoulder,1600,EXT,ARRI Alexa,Symmetry,Polarizer,Fujifilm XF 56mm f/1.2 R
amelie-2001-3035.jpg,50,6500,1.4,2.0,Extreme close-up,100,INT,Blackmagic URSA Mini,Frame within a frame,Polarizer,Leica Summilux-C 29mm T1.4
amelie-2001-3043.jpg,85,6500,2.0,1.5,Close-up,100,INT,Panasonic Lumix GH5,Leading lines,None,Leica Summilux-C 29mm T1.4
amelie-2001-3048.jpg,105,6500,5.6,3.0,Wide shot,200,EXT,Panavision Millennium DXL2,Symmetry,Gradient Filter,Fujifilm XF 56mm f/1.2 R
amelie-2001-3049.jpg,50,5600,1.4,1.5,Point-of-view,400,EXT,Nikon Z6,Leading lines,ND Filter,Sony FE 24-70mm f/2.8 GM
amelie-2001-3050.jpg,85,4300,4.0,0.5,Close-up,100,EXT,Panavision Millennium DXL2,Rule of thirds,Polarizer,Leica Summilux-C 29mm T1.4
amelie-2001-3054.jpg,50,5600,4.0,0.5,Extreme close-up,1600,EXT,Sony A7S III,Symmetry,Polarizer,Leica Summilux-C 29mm T1.4
amelie-2001-3056.jpg,24,3200,2.0,0.5,Wide shot,1600,INT,Blackmagic URSA Mini,Rule of thirds,ND Filter,Leica Summilux-C 29mm T1.4
american-beauty-1999-4648.jpg,105,5600,2.8,2.0,Extreme close-up,800,INT,Blackmagic URSA Mini,Golden ratio,ND Filter,Tamron SP 70-200mm f/2.8 Di VC USD G2
american-beauty-1999-4655.jpg,35,3200,2.0,2.0,Point-of-view,800,EXT,Nikon Z6,Golden ratio,None,Canon EF 24-70mm f/2.8L II USM
american-beauty-1999-4659.jpg,105,4300,4.0,0.5,Medium shot,200,EXT,Canon EOS R,Leading lines,Polarizer,Leica Summilux-C 29mm T1.4
american-beauty-1999-4662.jpg,24,4300,4.0,3.0,Over-the-shoulder,400,EXT,Fujifilm X-T3,Leading lines,None,Canon EF 24-70mm f/2.8L II USM
american-beauty-1999-4664.jpg,85,6500,2.0,3.0,Medium shot,800,INT,Panasonic Lumix GH5,Golden ratio,UV Filter,Sigma 35mm f/1.4 DG HSM Art
american-beauty-1999-4666.jpg,35,6500,5.6,0.5,Point-of-view,800,INT,ARRI Amira,Frame within a frame,Polarizer,Leica Summilux-C 29mm T1.4
american-beauty-1999-4668.jpg,50,6500,1.4,1.5,Medium shot,200,EXT,RED Komodo,Rule of thirds,Polarizer,Tamron SP 70-200mm f/2.8 Di VC USD G2
american-beauty-1999-4679.jpg,105,3200,1.4,1.5,Wide shot,800,INT,ARRI Amira,Golden ratio,UV Filter,Fujifilm XF 56mm f/1.2 R
american-beauty-1999-4682.jpg,50,3200,1.4,1.0,Point-of-view,800,EXT,Sony FX6,Leading lines,UV Filter,Canon EF 24-70mm f/2.8L II USM
american-beauty-1999-4684.jpg,105,4300,4.0,1.5,Over-the-shoulder,400,EXT,Sony A7S III,Symmetry,Gradient Filter,Sigma 35mm f/1.4 DG HSM Art
american-psycho-2000-2504.jpg,35,6500,1.4,1.5,Close-up,400,EXT,Blackmagic URSA Mini,Frame within a frame,ND Filter,Sigma 35mm f/1.4 DG HSM Art
american-psycho-2000-2507.jpg,50,4300,2.8,1.0,Point-of-view,100,INT,Panavision Millennium DXL2,Rule of thirds,Polarizer,Zeiss Otus 85mm f/1.4
american-psycho-2000-2508.jpg,105,4300,5.6,0.5,Close-up,800,EXT,Sony A7S III,Golden ratio,ND Filter,Nikon AF-S Nikkor 50mm f/1.4G
american-psycho-2000-2516.jpg,24,6500,4.0,1.0,Close-up,1600,INT,Panavision Millennium DXL2,Rule of thirds,Polarizer,Panasonic Lumix G X Vario 12-35mm f/2.8 II ASPH
american-psycho-2000-2518.jpg,24,6500,2.8,1.0,Over-the-shoulder,1600,INT,Fujifilm X-T3,Golden ratio,ND Filter,Zeiss Otus 85mm f/1.4
american-psycho-2000-2519.jpg,105,5600,1.4,2.0,Wide shot,200,INT,ARRI Amira,Golden ratio,Polarizer,Canon EF 24-70mm f/2.8L II USM
american-psycho-2000-2521.jpg,105,5600,1.4,0.5,Extreme close-up,100,EXT,Canon EOS C70,Symmetry,ND Filter,Tokina AT-X 16-28mm f/2.8 Pro FX
american-psycho-2000-2522.jpg,85,6500,2.0,3.0,Point-of-view,100,EXT,Canon EOS R,Frame within a frame,ND Filter,Canon EF 24-70mm f/2.8L II USM
american-psycho-2000-2523.jpg,35,4300,1.4,3.0,Extreme close-up,800,EXT,Sony Venice,Frame within a frame,ND Filter,Nikon AF-S Nikkor 50mm f/1.4G
american-psycho-2000-2528.jpg,105,5600,2.8,3.0,Close-up,400,INT,Nikon Z6,Rule of thirds,UV Filter,Sigma 35mm f/1.4 DG HSM Art
american-psycho-2000-2533.jpg,50,4300,1.4,1.0,Wide shot,200,EXT,Panavision Millennium DXL2,Rule of thirds,Polarizer,Tokina AT-X 16-28mm f/2.8 Pro FX
american-psycho-2000-2535.jpg,24,4300,4.0,0.5,Wide shot,1600,INT,RED Komodo,Symmetry,Polarizer,Canon EF 24-70mm f/2.8L II USM
american-psycho-2000-2537.jpg,35,4300,2.0,3.0,Close-up,800,INT,Canon EOS C70,Symmetry,Gradient Filter,Panasonic Lumix G X Vario 12-35mm f/2.8 II ASPH
